ADP,Position,Player,Team
1,WR-01,Ja'Marr Chase,CIN
2,RB-01,Bijan Robinson,ATL
3,RB-02,Saquon Barkley,PHI
4,RB-03,Jahmyr Gibbs,DET
5,WR-03,Justin Jefferson,MIN
6,WR-02,CeeDee Lamb,DAL
7,RB-04,Christian McCaffrey,SF
8,WR-04,Malik Nabers,NYG
9,WR-05,Amon-Ra St. Brown,DET
10,WR-06,Puka Nacua,LAR
11,RB-05,Ashton Jeanty,LV
12,RB-06,Derrick Henry,BAL
13,RB-07,De'Von Achane,MIA
14,WR-07,Nico Collins,HOU
15,WR-08,Brian Thomas Jr.,JAX
16,TE-01,Brock Bowers,LV
17,WR-09,Drake London,ATL
18,RB-09,Josh Jacobs,GB
19,WR-10,A.J. Brown,PHI
20,RB-08,Jonathan Taylor,IND
21,RB-10,Bucky Irving,TB
22,QB-01,Lamar Jackson,BAL
23,QB-02,Josh Allen,BUF
24,WR-11,Ladd McConkey,LAC
25,RB-11,Chase Brown,CIN
26,TE-02,Trey McBride,ARI
27,RB-12,Kyren Williams,LAR
28,WR-12,Tee Higgins,CIN
29,QB-03,Jayden Daniels,WAS
30,WR-14,Jaxon Smith-Njigba,SEA
31,WR-13,Tyreek Hill,MIA
32,RB-13,James Cook,BUF
33,TE-03,George Kittle,SF
34,WR-15,Garrett Wilson,NYJ
35,RB-15,Breece Hall,NYJ
36,QB-04,Jalen Hurts,PHI
37,RB-14,Omarion Hampton,LAC
38,WR-16,Mike Evans,TB
39,QB-05,Joe Burrow,CIN
40,WR-17,Marvin Harrison Jr.,ARI
41,WR-18,Davante Adams,LAR
42,RB-16,Kenneth Walker,SEA
43,WR-19,Terry McLaurin,WAS
44,RB-17,Alvin Kamara,NO
45,RB-18,Chuba Hubbard,CAR
46,WR-20,D.J. Moore,CHI
47,RB-20,James Conner,ARI
48,WR-22,DK Metcalf,PIT
49,WR-21,Xavier Worthy,KC
50,RB-19,TreVeyon Henderson,NE
51,WR-23,Courtland Sutton,DEN
52,WR-24,DeVonta Smith,PHI
53,TE-04,Sam LaPorta,DET
54,QB-06,Patrick Mahomes,KC
55,WR-26,Jameson Williams,DET
56,WR-29,Rashee Rice,KC
57,WR-28,Zay Flowers,BAL
58,WR-25,Tetairoa McMillan,CAR
59,WR-27,George Pickens,DAL
60,RB-23,David Montgomery,DET
61,RB-21,D'Andre Swift,CHI
62,RB-22,RJ Harvey,DEN
63,WR-30,Calvin Ridley,TEN
64,TE-05,T.J. Hockenson,MIN
65,WR-31,Jaylen Waddle,MIA
66,WR-32,Travis Hunter,JAX
67,RB-24,Isiah Pacheco,KC
68,RB-26,Aaron Jones,MIN
69,RB-25,Tony Pollard,TEN
70,TE-06,Travis Kelce,KC
71,QB-07,Baker Mayfield,TB
72,WR-33,Jerry Jeudy,CLE
73,WR-34,Rome Odunze,CHI
74,RB-27,Kaleb Johnson,PIT
75,TE-07,Mark Andrews,BAL
76,QB-08,Bo Nix,DEN
77,WR-35,Chris Olave,NO
78,RB-28,Joe Mixon,HOU
79,WR-36,Jakobi Meyers,LV
80,RB-29,Tyrone Tracy,NYG
81,WR-37,Stefon Diggs,NE
82,RB-30,Brian Robinson,WAS
83,WR-38,Deebo Samuel,WAS
84,TE-08,Evan Engram,DEN
85,TE-09,David Njoku,CLE
86,WR-40,Jordan Addison,MIN
87,QB-09,Kyler Murray,ARI
88,RB-31,Jaylen Warren,PIT
89,WR-39,Ricky Pearsall,SF
